NumeroDePasajeros,CanalDeVenta,TipoDeViaje,ClientePotencial,Estadia,HorarioDelVuelo,DiaDelVuelo,Ruta,OrigenReserva,EquipajeExtra,AsientosPreferido,QuiereComidaEnVuelo,DuracionDelVuelo,ReservaCompleta
1,1,2,21,12,6,5,AKLHGH,4,0,0,0,7.21,1
2,1,2,262,19,7,2,AKLDEL,61,1,0,0,5.52,0
1,1,2,112,20,3,2,AKLDEL,61,0,0,0,5.52,0
2,1,2,243,22,17,6,AKLDEL,36,1,1,0,5.52,0
1,1,2,96,31,4,2,AKLDEL,61,0,0,1,5.52,0
2,1,2,68,22,15,6,AKLDEL,36,1,0,1,5.52,0
1,1,2,3,48,20,4,AKLDEL,61,1,0,1,5.52,0
3,1,2,201,33,6,4,AKLDEL,61,1,0,1,5.52,0
2,1,2,238,19,14,1,AKLDEL,36,1,0,1,5.52,0
1,1,2,80,22,4,1,AKLDEL,61,0,0,1,5.52,0
1,0,2,378,30,12,3,AKLDEL,36,0,0,0,5.52,0
2,1,2,185,25,14,5,AKLDEL,100,1,1,1,5.52,0
1,1,2,8,43,2,2,AKLDEL,61,1,1,1,5.52,0
4,1,2,265,24,19,1,AKLDEL,61,1,0,1,5.52,0
1,1,2,185,17,14,0,AKLDEL,36,0,0,0,5.52,0
1,1,2,245,34,4,5,AKLDEL,61,1,1,1,5.52,0
1,1,2,192,18,14,4,AKLDEL,36,1,0,0,5.52,0
1,1,2,259,37,6,3,AKLDEL,36,0,0,0,5.52,0
1,1,2,19,29,10,2,AKLDEL,61,0,0,1,5.52,0
1,1,2,67,155,8,3,AKLDEL,61,1,0,0,5.52,0
1,1,2,351,17,3,3,AKLHGH,17,0,0,0,5.07,0
2,1,0,228,29,23,6,AKLHND,61,1,0,0,7.57,0
1,1,2,21,88,9,6,AKLICN,85,1,0,1,6.62,0
2,1,2,23,19,8,1,AKLICN,61,1,0,1,6.62,0
2,1,2,25,27,13,0,AKLICN,85,1,0,1,6.62,0
1,1,2,16,21,6,4,AKLICN,61,1,0,1,6.62,0
1,1,2,66,20,7,4,AKLICN,85,1,0,0,6.62,0
1,1,2,51,28,6,0,AKLICN,85,0,0,0,6.62,0
2,1,2,37,24,7,1,AKLICN,61,1,0,0,6.62,0
1,1,2,101,19,11,5,AKLICN,85,1,0,1,6.62,0
1,1,2,19,47,2,5,AKLICN,61,1,0,1,6.62,0
1,1,2,16,35,23,6,AKLICN,61,1,1,0,6.62,0
2,1,2,7,82,4,4,AKLICN,85,1,0,1,6.62,0
1,1,2,5,27,0,0,AKLICN,61,0,0,1,6.62,0
1,1,2,185,34,4,1,AKLICN,61,1,0,1,6.62,0
1,1,2,21,22,7,0,AKLICN,61,1,1,0,6.62,0
1,1,2,7,27,4,6,AKLICN,61,0,0,1,6.62,0
1,1,2,33,22,14,2,AKLICN,85,1,0,0,6.62,0
6,1,2,20,22,3,0,AKLICN,85,1,1,1,6.62,0
2,1,2,56,21,7,4,AKLICN,61,1,0,0,6.62,0
1,1,2,3,33,1,1,AKLICN,85,1,0,1,6.62,0
1,1,2,13,26,7,1,AKLICN,85,1,0,0,6.62,0
