NumeroDePasajeros,CanalDeVenta,TipoDeViaje,ClientePotencial,Estadia,HorarioDelVuelo,DiaDelVuelo,Ruta,OrigenReserva,EquipajeExtra,AsientosPreferido,QuiereComidaEnVuelo,DuracionDelVuelo,ReservaCompleta
1,1,2,21,12,6,5,1,4,0,0,0,7,1
2,1,2,262,19,7,2,0,61,1,0,0,5,0
1,1,2,112,20,3,2,0,61,0,0,0,5,0
2,1,2,243,22,17,6,0,36,1,1,0,5,0
1,1,2,96,31,4,2,0,61,0,0,1,5,0
2,1,2,68,22,15,6,0,36,1,0,1,5,0
1,1,2,3,48,20,4,0,61,1,0,1,5,0
3,1,2,201,33,6,4,0,61,1,0,1,5,0
2,1,2,238,19,14,1,0,36,1,0,1,5,0
1,1,2,80,22,4,1,0,61,0,0,1,5,0
1,0,2,378,30,12,3,0,36,0,0,0,5,0
2,1,2,185,25,14,5,0,100,1,1,1,5,0
1,1,2,8,43,2,2,0,61,1,1,1,5,0
4,1,2,265,24,19,1,0,61,1,0,1,5,0
1,1,2,185,17,14,0,0,36,0,0,0,5,0
1,1,2,245,34,4,5,0,61,1,1,1,5,0
1,1,2,192,18,14,4,0,36,1,0,0,5,0
1,1,2,259,37,6,3,0,36,0,0,0,5,0
1,1,2,19,29,10,2,0,61,0,0,1,5,0
1,1,2,67,155,8,3,0,61,1,0,0,5,0
1,1,2,351,17,3,3,1,17,0,0,0,5,0
2,1,0,228,29,23,6,2,61,1,0,0,7,0
1,1,2,21,88,9,6,3,85,1,0,1,6,0
2,1,2,23,19,8,1,3,61,1,0,1,6,0
2,1,2,25,27,13,0,3,85,1,0,1,6,0
1,1,2,16,21,6,4,3,61,1,0,1,6,0
1,1,2,66,20,7,4,3,85,1,0,0,6,0
1,1,2,51,28,6,0,3,85,0,0,0,6,0
2,1,2,37,24,7,1,3,61,1,0,0,6,0
1,1,2,101,19,11,5,3,85,1,0,1,6,0
1,1,2,19,47,2,5,3,61,1,0,1,6,0
1,1,2,16,35,23,6,3,61,1,1,0,6,0
2,1,2,7,82,4,4,3,85,1,0,1,6,0
1,1,2,5,27,0,0,3,61,0,0,1,6,0
1,1,2,185,34,4,1,3,61,1,0,1,6,0
1,1,2,21,22,7,0,3,61,1,1,0,6,0
1,1,2,7,27,4,6,3,61,0,0,1,6,0
1,1,2,33,22,14,2,3,85,1,0,0,6,0
6,1,2,20,22,3,0,3,85,1,1,1,6,0
2,1,2,56,21,7,4,3,61,1,0,0,6,0
1,1,2,3,33,1,1,3,85,1,0,1,6,0
1,1,2,13,26,7,1,3,85,1,0,0,6,0
1,1,2,71,90,7,4,3,85,1,1,1,6,0
2,1,2,346,23,8,1,3,85,1,0,1,6,0
1,1,2,9,84,7,6,3,61,1,0,0,6,0
1,1,2,65,22,14,4,3,85,1,0,0,6,0
1,0,2,221,61,2,3,3,61,0,0,0,6,0
1,1,2,65,18,14,6,3,85,0,0,1,6,0
2,1,2,7,40,7,6,3,85,1,0,1,6,0
1,1,2,107,24,14,0,3,85,0,1,0,6,0
1,1,2,14,27,10,6,3,61,0,0,0,6,0
1,1,2,77,96,9,5,3,61,1,0,1,6,0
1,1,2,65,17,9,6,3,61,1,0,0,6,0
1,1,2,24,25,8,4,3,85,1,0,1,6,0
1,1,2,47,69,2,6,3,85,1,1,1,6,0
1,1,2,22,89,14,5,3,85,1,0,1,6,0
2,1,2,11,25,4,4,3,85,1,0,1,6,0
1,1,2,35,25,6,5,3,85,0,0,1,6,0
1,1,2,272,21,14,5,3,61,1,0,0,6,0
1,1,2,20,18,10,1,3,61,0,0,0,6,0
1,1,2,250,23,9,3,3,85,1,0,1,6,0
1,1,2,161,58,2,2,3,85,1,0,1,6,0
4,1,2,128,21,9,1,3,61,1,1,0,6,0
1,1,2,190,27,14,3,3,85,1,0,1,6,0
4,1,2,311,27,6,2,3,61,0,1,0,6,0
1,1,2,27,56,7,0,3,85,1,0,1,6,0
2,1,2,314,43,10,3,3,61,0,0,0,6,0
1,1,2,25,29,11,6,3,85,1,0,1,6,0
1,1,2,102,110,6,5,3,85,1,0,0,6,0
3,0,0,154,45,9,6,3,15,1,1,1,5,0
1,1,2,24,19,8,1,3,85,1,0,1,6,0
1,1,2,2,165,3,1,4,43,1,0,0,7,0
1,1,2,26,111,13,1,4,43,1,0,1,7,0
1,1,2,32,34,23,3,4,61,0,0,0,7,0
2,1,2,57,38,5,3,4,61,1,0,0,7,0
1,1,2,198,207,10,3,4,43,1,0,1,7,0
1,1,2,23,27,11,2,4,43,0,0,0,7,0
1,1,2,33,20,6,0,5,61,1,0,0,4,0
2,1,2,120,91,3,1,5,61,1,0,1,4,0
2,1,2,69,34,4,4,5,61,1,0,0,4,0
1,0,0,281,18,3,6,5,61,1,0,0,4,0
1,1,0,282,18,19,5,5,61,1,0,0,4,0
1,1,2,69,21,3,6,5,61,1,0,0,4,0
1,1,1,67,1,10,5,5,61,1,0,0,4,0
1,1,2,15,31,17,1,6,51,0,0,0,8,1
1,1,2,31,274,10,5,6,51,1,0,0,8,0
1,1,2,316,35,16,5,6,51,1,0,0,8,0
2,1,2,232,17,3,5,6,51,1,1,1,8,0
1,1,2,156,19,14,1,6,51,1,0,0,8,1
1,1,2,196,44,23,5,6,61,1,0,0,8,0
1,1,2,283,38,9,1,6,61,1,0,0,8,0
1,1,2,34,24,5,0,6,61,1,0,0,8,0
1,0,2,63,57,8,1,6,61,0,0,0,8,0
1,1,2,5,18,4,5,6,61,0,0,0,8,0
1,1,2,6,106,19,5,6,51,0,0,0,8,0
1,1,2,227,68,2,0,6,51,1,1,0,8,0
1,1,2,181,87,2,5,6,80,1,0,1,8,1
1,1,2,8,33,3,5,6,61,0,0,0,8,0
2,1,2,138,35,19,0,6,90,1,0,1,8,0
1,1,2,134,37,20,6,6,61,0,1,0,8,0
2,1,2,8,29,18,4,6,61,1,0,0,8,0
1,1,2,23,51,13,0,6,61,1,0,1,8,0
1,0,2,57,21,1,3,6,51,1,1,1,8,0
2,1,2,85,19,0,1,6,61,1,1,0,8,0
1,1,2,65,31,23,3,6,61,0,0,0,8,0
1,1,1,27,1,13,5,6,61,1,1,0,8,0
1,1,2,93,196,8,5,6,28,1,0,0,8,0
1,0,2,16,77,8,1,6,61,0,0,1,8,0
2,1,2,118,17,8,5,6,61,1,0,1,8,0
2,1,2,90,20,7,4,6,51,0,0,1,8,0
1,1,2,168,41,23,1,6,61,1,0,1,8,0
1,0,2,127,17,16,5,6,51,1,0,1,8,1
2,0,2,18,17,6,1,6,61,1,1,1,8,0
1,1,2,153,30,10,5,6,61,1,1,0,8,0
1,1,2,51,21,9,2,6,51,1,0,1,8,0
2,1,2,186,27,2,5,6,61,1,1,1,8,0
1,1,2,5,87,5,5,6,51,1,0,0,8,0
1,1,2,65,278,2,4,6,51,0,0,0,8,0
1,1,2,2,18,6,4,6,61,1,1,0,8,0
1,1,2,263,58,4,3,6,51,0,1,0,8,0
6,1,2,172,28,0,2,6,61,0,0,1,8,0
1,1,2,161,108,2,4,6,61,1,1,0,8,0
4,1,2,230,29,17,1,6,51,1,0,1,8,0
1,1,2,7,21,0,1,6,37,0,0,0,8,0
1,1,2,42,17,14,5,6,51,0,0,0,8,1
1,1,2,71,29,10,0,6,61,1,0,0,8,0
1,1,2,22,180,13,4,6,51,1,0,0,8,1
1,1,2,81,21,4,0,6,61,1,0,0,8,0
2,1,2,140,18,7,3,6,17,1,0,0,8,0
1,0,2,42,72,14,2,6,61,0,0,1,8,0
1,1,2,168,32,2,5,6,61,1,1,0,8,0
1,1,2,285,30,12,6,6,21,1,1,1,8,0
2,1,2,179,18,11,4,6,51,1,0,1,8,0
2,1,2,341,21,10,2,6,61,1,0,0,8,0
2,1,2,96,51,3,4,6,61,1,0,1,8,0
4,1,2,173,17,1,4,6,61,1,0,1,8,0
1,1,2,180,24,9,6,6,61,0,1,1,8,0
4,1,2,366,17,16,3,6,51,1,0,1,8,0
3,1,2,229,17,13,1,6,51,1,1,1,8,1
2,1,2,174,61,11,5,6,51,1,0,1,8,0
2,1,2,82,25,18,0,6,21,1,0,0,8,0
1,1,2,75,62,6,1,6,51,0,0,0,8,0
2,1,2,163,21,10,1,6,61,1,0,0,8,0
1,1,2,105,21,8,0,6,61,1,0,0,8,0
2,1,2,276,45,6,1,6,61,1,0,1,8,0
1,1,2,35,31,3,4,6,61,1,0,0,8,0
1,1,2,110,26,23,6,6,61,1,0,0,8,0
1,1,2,83,44,3,2,6,51,1,0,0,8,0
1,0,2,154,25,22,1,6,51,1,0,0,8,0
1,1,2,118,19,1,5,6,61,1,0,1,8,0
1,1,2,55,20,22,6,6,61,0,0,0,8,0
1,0,2,45,35,1,2,6,61,0,0,0,8,0
1,1,2,54,23,4,3,6,61,0,0,1,8,0
1,1,2,193,19,13,5,6,51,0,0,0,8,0
1,1,2,10,91,23,5,6,80,1,0,0,8,1
1,1,2,166,18,20,6,6,61,1,0,1,8,0
1,1,2,97,25,9,3,6,51,1,0,0,8,0
5,1,2,239,17,12,4,6,51,1,0,1,8,0
2,1,2,97,50,8,2,6,61,1,1,1,8,0
1,1,2,182,28,10,3,6,103,0,0,1,8,0
1,1,2,99,21,13,3,6,80,0,0,0,8,1
1,1,2,23,59,9,5,6,61,1,0,1,8,0
1,0,2,53,18,9,1,6,51,1,1,0,8,0
1,1,2,28,125,12,2,6,51,0,0,0,8,0
1,1,2,384,18,5,4,6,51,0,0,0,8,0
2,1,2,22,27,23,0,6,61,1,0,1,8,0
1,1,2,70,106,3,4,6,51,1,0,1,8,0
1,1,2,126,28,20,3,6,28,1,0,0,8,0
1,1,2,8,45,8,5,6,51,0,0,0,8,0
2,1,2,51,29,11,3,6,61,1,0,1,8,0
1,1,2,142,124,9,6,6,51,1,0,0,8,1
1,1,2,87,33,9,2,6,93,1,0,0,8,0
5,0,2,238,21,8,0,6,61,1,1,1,8,0
2,1,2,86,34,0,2,6,61,1,0,0,8,0
1,0,2,313,35,20,2,6,61,1,0,0,8,0
2,1,2,41,20,20,3,6,86,1,1,1,8,0
1,1,2,91,46,8,6,6,61,1,1,1,8,0
1,0,2,41,21,12,5,6,51,1,0,0,8,0
1,1,2,82,33,10,5,6,61,1,0,0,8,0
5,1,2,206,17,13,3,6,51,1,0,0,8,0
4,1,2,6,55,5,4,6,61,1,1,0,8,0
5,1,2,197,18,10,0,6,51,1,0,1,8,0
1,1,2,34,22,13,5,6,51,1,0,1,8,1
2,1,2,112,21,17,5,6,51,1,0,0,8,0
2,1,2,268,47,1,1,6,61,1,0,1,8,0
1,1,2,157,26,15,1,6,75,1,0,1,8,0
2,1,2,145,51,4,6,6,51,1,1,1,8,0
4,1,2,241,24,9,1,6,61,0,0,0,8,0
1,1,2,172,17,9,0,6,40,0,0,1,8,0
1,1,2,99,19,7,6,6,51,0,0,0,8,0
1,0,2,139,22,8,3,6,61,1,0,1,8,0
1,1,2,59,35,13,3,6,51,0,1,0,8,1
